order_detail_id,order_id,product_id,quantity,unit_price
1,227,218,6,48.37
2,1897,451,2,56.38
3,280,445,3,51.44
4,1798,318,1,78.31
5,1940,49,6,19.33
6,1632,234,10,68.05
7,275,152,7,63.95
8,945,165,10,48.48
9,93,16,3,80.83
10,589,144,3,92.75
11,1254,329,7,9.72
12,392,213,8,24.23
13,983,60,3,72.1
14,1279,189,10,92.2
15,1307,437,9,78.61
16,92,294,6,54.04
17,378,473,2,37.06
18,31,5,2,84.38
19,737,116,9,30.28
20,457,15,9,62.66
21,762,413,3,86.3
22,1065,461,5,92.11
23,1882,75,3,43.31
24,1463,399,3,107.83
25,1865,228,8,108.22
26,1108,149,2,51.67
27,275,71,2,33.44
28,259,490,5,90.45
29,867,371,3,62.7
30,1011,200,9,81.77
31,1277,222,3,76.98
32,1748,173,7,94.46
33,1175,83,7,5.36
34,786,14,6,21.67
35,1126,48,8,25.6
36,337,24,5,35.58
37,1640,393,4,27.79
38,1016,6,8,74.18
39,1430,190,3,52.23
40,60,263,5,46.16
41,1441,181,2,114.05
42,947,351,3,34.76
43,1618,65,6,31.7
44,1584,94,6,37.0
45,800,160,3,15.45
46,1761,380,7,72.91
47,860,482,4,69.9
48,46,402,9,76.44
49,981,12,3,88.55
50,1955,255,10,50.28
51,254,214,2,103.55
52,1924,358,4,21.31
53,991,277,8,74.52
54,350,427,8,23.41
55,1408,205,1,40.16
56,1880,396,9,21.53
57,1058,146,2,49.6
58,587,257,9,37.33
59,250,104,6,39.4
60,1876,24,5,35.75
61,1788,362,6,22.36
62,500,136,7,86.76
63,1144,364,7,84.27
64,1759,173,3,90.63
65,1398,189,1,76.84
66,1054,284,10,71.97
67,659,283,1,41.26
68,1639,489,1,85.36
69,195,471,4,56.58
70,549,216,5,88.47
71,1743,340,2,83.93
72,1473,239,8,29.43
73,606,196,8,18.78
74,820,291,2,13.31
75,56,222,8,82.63
76,294,399,4,118.77
77,868,326,7,89.99
78,987,401,7,88.31
79,1243,384,1,6.98
80,393,103,7,89.88
81,963,432,6,23.41
82,1690,458,7,65.29
83,1422,309,9,50.69
84,1902,224,10,81.31
85,755,34,6,68.99
86,1456,124,10,36.1
87,1575,436,6,30.37
88,1995,354,5,79.67
89,1535,387,4,74.29
90,826,181,9,114.2
91,1751,268,8,40.21
92,435,458,3,63.13
93,1193,332,7,8.76
94,567,200,8,65.05
95,36,322,7,76.23
96,898,496,3,97.91
97,1395,288,3,35.41
98,74,64,8,56.22
99,31,243,8,56.1
100,1498,23,8,41.34
101,60,474,2,28.99
102,1677,421,2,12.82
103,457,349,2,42.79
104,129,350,4,20.07
105,1526,331,9,51.2
106,1983,323,2,74.54
107,1966,413,8,77.17
108,302,303,3,67.36
109,1244,315,9,45.34
110,1685,113,10,22.93
111,1995,316,8,41.62
112,9,306,5,43.42
113,1598,107,5,24.31
114,1261,248,5,34.39
115,1148,459,1,61.04
116,659,279,3,76.22
117,1062,217,2,18.96
118,1934,96,7,19.96
119,241,347,2,84.46
120,687,49,8,19.88
121,1308,410,10,80.33
122,1882,422,9,81.96
123,1120,226,8,26.12
124,1100,253,6,86.09
125,7,115,2,69.36
126,902,324,7,52.99
127,1751,466,6,93.13
128,241,227,8,30.18
129,1941,433,6,37.53
130,282,112,5,36.47
131,1080,94,10,54.12
132,116,92,1,71.66
133,931,264,4,95.14
134,1457,52,6,63.79
135,1787,320,6,96.58
136,1626,380,8,82.88
137,1477,330,8,26.24
138,1509,356,1,22.15
139,1898,332,8,11.53
140,1392,289,2,54.22
141,1498,358,5,18.07
142,1048,263,3,40.41
143,1532,257,5,35.47
144,604,119,5,43.17
145,975,318,5,85.45
146,1419,9,4,61.68
147,232,407,5,14.03
148,1582,28,3,82.95
149,798,265,3,34.13
150,707,113,7,29.78
151,1364,125,8,83.66
152,1019,11,6,56.39
153,1854,217,3,23.48
154,1449,30,3,45.29
155,527,244,7,6.6
156,1928,332,6,12.3
157,154,67,6,57.96
158,1086,490,6,103.82
159,190,246,1,64.32
160,1943,211,5,35.14
161,602,87,10,58.21
162,1641,262,1,112.58
163,1516,96,7,17.86
164,1546,464,8,73.52
165,1081,228,6,83.14
166,783,446,8,9.81
167,1094,68,1,11.89
168,145,304,7,39.01
169,817,252,4,77.21
170,326,156,5,86.9
171,1172,203,6,17.39
172,1052,343,4,98.44
173,7,268,7,35.72
174,1919,328,7,13.36
175,1351,334,1,102.5
176,229,275,4,51.0
177,588,237,7,8.67
178,1978,243,10,62.15
179,1035,491,4,23.92
180,189,228,1,85.16
181,180,175,7,75.18
182,1958,84,3,31.17
183,837,223,1,72.24
184,1631,163,4,96.87
185,560,274,6,24.57
186,1789,316,4,49.98
187,61,206,5,25.73
188,1680,73,2,17.22
189,1726,33,7,60.23
190,94,41,9,64.56
191,1881,426,7,83.54
192,26,243,4,76.96
193,982,294,1,68.92
194,1826,457,4,45.04
195,1153,200,10,64.35
196,214,68,2,9.69
197,279,454,5,14.37
198,1222,349,4,43.41
199,553,190,9,58.29
200,1529,315,1,41.65
201,646,350,7,19.52
202,1643,11,6,54.75
203,1630,130,7,83.24
204,298,451,7,66.36
205,1373,242,8,10.95
206,278,402,1,88.55
207,856,12,3,80.07
208,554,4,2,69.01
209,760,155,7,54.9
210,1178,308,3,69.46
211,638,21,1,66.39
212,1846,308,4,49.85
213,1001,402,6,96.54
214,283,497,3,99.38
215,1048,455,6,79.66
216,1173,16,7,69.56
217,556,427,10,27.16
218,1527,162,6,10.82
219,337,349,6,62.11
220,959,391,4,16.41
221,1196,311,10,76.95
222,1995,363,9,85.73
223,823,134,5,79.32
224,780,85,2,42.55
225,1880,391,3,12.47
226,613,395,8,34.89
227,1146,107,5,23.65
228,1106,181,9,104.81
229,842,315,10,39.43
230,913,377,1,32.41
231,916,396,6,23.42
232,1733,376,7,42.31
233,1517,231,4,14.43
234,1516,253,3,102.26
235,617,444,9,75.09
236,60,168,6,31.28
237,1918,452,10,66.94
238,235,315,2,37.17
239,771,22,5,59.64
240,1338,291,6,16.4
241,449,365,4,44.59
242,874,235,9,104.75
243,1049,414,9,39.59
244,1595,458,6,70.03
245,391,292,7,58.93
246,1752,285,6,59.58
247,1025,415,1,33.1
248,831,86,10,84.75
249,1533,481,7,22.78
250,449,332,5,12.24
251,508,434,9,89.17
252,335,280,8,40.6
253,699,20,6,103.29
254,219,316,6,48.84
255,724,236,8,37.38
256,34,363,8,64.29
257,1877,430,9,29.27
258,826,270,4,65.28
259,1428,304,8,44.72
260,1459,448,6,93.5
261,290,359,5,11.92
262,1132,234,2,63.61
263,46,125,4,83.57
264,1485,438,6,45.77
265,1991,229,2,21.52
266,1327,144,5,99.81
267,1504,232,7,62.52
268,1366,206,5,19.2
269,1846,179,1,74.38
270,487,400,7,52.88
271,1258,411,3,89.02
272,1767,69,3,67.84
273,793,101,6,41.05
274,1523,274,7,28.74
275,250,254,5,102.51
276,184,364,3,59.64
277,1253,483,7,27.23
278,993,262,4,92.21
279,1971,136,2,85.9
280,872,24,6,46.0
281,1621,52,4,71.65
282,1248,160,4,14.68
283,1823,494,2,63.31
284,283,415,9,37.9
285,248,450,2,16.8
286,982,272,3,56.56
287,390,113,9,31.95
288,535,31,2,56.22
289,510,340,9,99.12
290,271,228,6,87.45
291,1034,234,5,60.64
292,671,282,4,65.27
293,873,88,7,58.69
294,776,369,2,31.28
295,354,415,3,30.41
296,1044,430,4,33.11
297,1148,315,1,44.61
298,479,402,9,85.04
299,1395,278,1,78.79
300,384,106,3,33.95
301,113,74,2,38.09
302,306,464,1,79.68
303,1870,240,6,86.29
304,6,225,7,79.68
305,245,411,7,69.06
306,594,296,5,10.23
307,1809,160,6,13.88
308,901,410,1,81.9
309,265,439,3,84.29
310,1878,414,9,39.67
311,955,275,10,67.48
312,647,149,6,60.82
313,164,105,4,26.54
314,875,399,1,106.72
315,1780,17,6,26.37
316,1864,391,5,11.58
317,283,136,4,90.5
318,1505,259,6,65.52
319,414,80,6,93.71
320,469,466,1,89.5
321,1490,303,4,77.5
322,1051,332,7,10.97
323,90,141,8,75.86
324,1771,253,2,70.29
325,1489,219,3,57.61
326,1458,56,5,19.23
327,3,431,4,91.96
328,1853,492,4,22.97
329,998,337,7,38.83
330,1135,370,8,74.59
331,1626,326,5,84.11
