order_id,customer_id,order_date,status
1,153,2022-11-23,Completed
2,164,2024-05-14,Completed
3,281,2023-10-14,Pending
4,119,2024-04-30,Cancelled
5,148,2024-06-13,Cancelled
6,164,2022-11-10,Pending
7,323,2024-05-02,Cancelled
8,186,2023-04-12,Completed
9,385,2024-07-22,Completed
10,92,2023-08-05,Completed
11,309,2024-01-28,Cancelled
12,53,2024-01-18,Completed
13,156,2023-11-28,Completed
14,481,2022-11-07,Cancelled
15,252,2023-09-20,Pending
16,326,2024-07-28,Cancelled
17,327,2022-10-25,Completed
18,431,2022-11-13,Cancelled
19,29,2024-02-23,Cancelled
20,211,2023-09-24,Completed
21,488,2024-01-01,Pending
22,158,2023-09-16,Cancelled
23,283,2024-02-03,Cancelled
24,62,2022-10-08,Completed
25,6,2023-05-17,Cancelled
26,451,2024-04-28,Completed
27,374,2023-03-10,Pending
28,3,2024-03-13,Pending
29,124,2023-03-25,Completed
30,158,2024-04-03,Completed
31,10,2023-03-03,Cancelled
32,369,2023-05-31,Pending
33,25,2022-09-23,Completed
34,426,2022-12-25,Pending
35,479,2023-07-01,Cancelled
36,49,2024-07-09,Cancelled
37,121,2023-04-11,Cancelled
38,498,2023-08-18,Pending
39,96,2023-09-30,Cancelled
40,284,2024-08-08,Completed
41,287,2024-03-07,Completed
42,318,2024-07-06,Cancelled
43,379,2023-03-22,Cancelled
44,396,2024-02-27,Pending
45,397,2024-03-14,Completed
46,223,2024-08-17,Pending
47,467,2022-10-02,Pending
48,465,2023-03-11,Pending
49,51,2024-07-10,Pending
50,144,2024-04-16,Pending
51,484,2024-04-09,Completed
52,59,2024-08-20,Pending
53,449,2024-04-21,Cancelled
54,329,2023-02-12,Completed
55,60,2023-03-03,Pending
56,184,2023-03-12,Cancelled
57,324,2022-09-03,Pending
58,262,2024-06-19,Pending
59,258,2023-06-19,Pending
60,186,2024-07-29,Cancelled
61,263,2023-02-18,Completed
62,43,2022-10-10,Pending
63,190,2023-08-18,Cancelled
64,434,2024-07-21,Pending
